date,stock1,stock2,stock3,stock4,lot1,lot2,lot3,lot4,value1,value2,value3,value4,stock_value_total,cash,accrued_fee,nav,is_rebalance,is_payfee
2020-09-17,851607,2572066,497280,2572067,19,8,11,15,50690.1247,47938.04,43956.0,47920.5225,190504.6872,5321.345398149177,55.132055666590254,195770.90054248256,False,False
2020-09-18,851607,2572066,497280,2572067,19,8,11,15,50671.4002,48182.8232,44330.0,47657.9445,190842.1679,5321.345398149177,55.40069728473064,196108.11260086444,False,False
2020-09-19,851607,2572066,497280,2572067,19,8,11,15,50671.4002,48182.8232,44330.0,47657.9445,190842.1679,5321.345398149177,55.669338534868814,196107.84395961429,False,False
2020-09-20,851607,2572066,497280,2572067,19,8,11,15,50671.4002,48182.8232,44330.0,47657.9445,190842.1679,5321.345398149177,55.93797941700527,196107.57531873215,False,False
2020-09-21,851607,2572066,497280,2572067,19,8,11,15,50858.6547,48364.436799999996,45672.0,47147.376000000004,192042.46749999997,5321.345398149177,56.20826417716792,197307.60463397202,False,False
2020-09-22,851607,2572066,497280,2572067,19,8,11,15,50989.733799999995,49971.2416,46508.0,47417.248499999994,194886.22389999998,5321.345398149177,56.4824441237898,200151.08685402534,False,False
2020-09-23,851607,2572066,497280,2572067,19,8,11,15,50203.2592,48300.240000000005,45397.0,46680.57,190581.06920000003,5321.345398149177,56.75072622263093,195845.66387192655,False,False
2020-09-24,851607,2572066,497280,2572067,19,8,11,15,49903.6501,48006.356,44891.0,46315.878,189116.8841,5321.345398149177,57.01700222094864,194381.21249592825,False,False
2020-09-25,851607,2572066,497280,2572067,19,8,11,15,50465.417400000006,48951.5512,46375.99999999999,46709.745,192502.7136,5321.345398149177,57.287915977107446,197766.77108217208,False,False
2020-09-26,851607,2572066,497280,2572067,19,8,11,15,50465.417400000006,48951.5512,46375.99999999999,46709.745,192502.7136,5321.345398149177,57.55882936215151,197766.50016878702,False,False
2020-09-27,851607,2572066,497280,2572067,19,8,11,15,50465.417400000006,48951.5512,46375.99999999999,46709.745,192502.7136,5321.345398149177,57.829742376081356,197766.2292557731,False,False
2020-09-28,851607,2572066,497280,2572067,19,8,11,15,50877.3811,50150.915199999996,47014.0,47555.830500000004,195598.1268,5321.345398149177,58.10489531095228,200861.36730283825,False,False
